group,name,version,license,optional,installScript,review,lockPath
development,@adobe/css-tools,4.4.4,MIT,false,false,permissive-or-public-domain,node_modules/@adobe/css-tools
development,@asamuzakjp/css-color,5.0.1,MIT,false,false,permissive-or-public-domain,node_modules/@asamuzakjp/css-color
development,@asamuzakjp/css-color/node_modules/lru-cache,11.2.7,BlueOak-1.0.0,false,false,permissive-or-public-domain,node_modules/@asamuzakjp/css-color/node_modules/lru-cache
development,@asamuzakjp/dom-selector,7.0.4,MIT,false,false,permissive-or-public-domain,node_modules/@asamuzakjp/dom-selector
development,@asamuzakjp/dom-selector/node_modules/lru-cache,11.2.7,BlueOak-1.0.0,false,false,permissive-or-public-domain,node_modules/@asamuzakjp/dom-selector/node_modules/lru-cache
development,@asamuzakjp/nwsapi,2.3.9,MIT,false,false,permissive-or-public-domain,node_modules/@asamuzakjp/nwsapi
development,@babel/code-frame,7.29.0,MIT,false,false,permissive-or-public-domain,node_modules/@babel/code-frame
development,@babel/compat-data,7.29.0,MIT,false,false,permissive-or-public-domain,node_modules/@babel/compat-data
development,@babel/core,7.29.0,MIT,false,false,permissive-or-public-domain,node_modules/@babel/core
development,@babel/generator,7.29.1,MIT,false,false,permissive-or-public-domain,node_modules/@babel/generator
development,@babel/helper-compilation-targets,7.28.6,MIT,false,false,permissive-or-public-domain,node_modules/@babel/helper-compilation-targets
development,@babel/helper-globals,7.28.0,MIT,false,false,permissive-or-public-domain,node_modules/@babel/helper-globals
development,@babel/helper-module-imports,7.28.6,MIT,false,false,permissive-or-public-domain,node_modules/@babel/helper-module-imports
development,@babel/helper-module-transforms,7.28.6,MIT,false,false,permissive-or-public-domain,node_modules/@babel/helper-module-transforms
development,@babel/helper-plugin-utils,7.28.6,MIT,false,false,permissive-or-public-domain,node_modules/@babel/helper-plugin-utils
development,@babel/helper-string-parser,7.27.1,MIT,false,false,permissive-or-public-domain,node_modules/@babel/helper-string-parser
development,@babel/helper-validator-identifier,7.28.5,MIT,false,false,permissive-or-public-domain,node_modules/@babel/helper-validator-identifier
development,@babel/helper-validator-option,7.27.1,MIT,false,false,permissive-or-public-domain,node_modules/@babel/helper-validator-option
development,@babel/helpers,7.28.6,MIT,false,false,permissive-or-public-domain,node_modules/@babel/helpers
development,@babel/parser,7.29.0,MIT,false,false,permissive-or-public-domain,node_modules/@babel/parser
development,@babel/plugin-transform-arrow-functions,7.27.1,MIT,false,false,permissive-or-public-domain,node_modules/@babel/plugin-transform-arrow-functions
development,@babel/plugin-transform-react-jsx-self,7.27.1,MIT,false,false,permissive-or-public-domain,node_modules/@babel/plugin-transform-react-jsx-self
development,@babel/plugin-transform-react-jsx-source,7.27.1,MIT,false,false,permissive-or-public-domain,node_modules/@babel/plugin-transform-react-jsx-source
development,@babel/runtime,7.29.2,MIT,false,false,permissive-or-public-domain,node_modules/@babel/runtime
development,@babel/template,7.28.6,MIT,false,false,permissive-or-public-domain,node_modules/@babel/template
development,@babel/traverse,7.29.0,MIT,false,false,permissive-or-public-domain,node_modules/@babel/traverse
development,@babel/types,7.29.0,MIT,false,false,permissive-or-public-domain,node_modules/@babel/types
development,@bramus/specificity,2.4.2,MIT,false,false,permissive-or-public-domain,node_modules/@bramus/specificity
development,@csstools/color-helpers,6.0.2,MIT-0,false,false,permissive-or-public-domain,node_modules/@csstools/color-helpers
development,@csstools/css-calc,3.1.1,MIT,false,false,permissive-or-public-domain,node_modules/@csstools/css-calc
development,@csstools/css-color-parser,4.0.2,MIT,false,false,permissive-or-public-domain,node_modules/@csstools/css-color-parser
development,@csstools/css-parser-algorithms,4.0.0,MIT,false,false,permissive-or-public-domain,node_modules/@csstools/css-parser-algorithms
development,@csstools/css-syntax-patches-for-csstree,1.1.1,MIT-0,false,false,permissive-or-public-domain,node_modules/@csstools/css-syntax-patches-for-csstree
